## Symbol Dependencies
name,kind,location,is_cycle,is_static,dependencies
xmlInitEncodingInternal,function,encoding.c:821,,,XML_HIDDEN
xmlIsolat1ToUTF8,function,encoding.c:2374,,,XMLPUBFUN
xmlUTF8ToIsolat1,function,encoding.c:2477,,,XMLPUBFUN
xmlCharEncodingHandler,struct,include/libxml/encoding.h:198,,,xmlCharEncConvFunc;xmlCharEncConvCtxtDtor;xmlCharEncodingOutputFunc;XML_DEPRECATED_MEMBER;xmlCharEncodingInputFunc
xmlFreeEntitiesTable,function,entities.c:587,,,xmlEntitiesTable
xmlIsCatastrophicError,function,error.c:37,,,XML_HIDDEN
xmlGenericErrorDefaultFunc,function,error.c:231,,,
xmlSetGenericErrorFunc,function,error.c:268,,,xmlGenericErrorFunc;XMLPUBFUN
xmlParserPrintFileInfo,function,error.c:332,,,XMLPUBFUN;_xmlParserInput
xmlParserPrintFileContext,function,error.c:426,,,XMLPUBFUN;_xmlParserInput
xmlErrString,function,error.c:1042,,,xmlParserErrors
xmlVPrintErrorMessage,function,error.c:1375,,,XML_HIDDEN
xmlPrintErrorMessage,function,error.c:1386,,,XML_HIDDEN
xmlAbort,function,error.c:1401,,,XML_HIDDEN
xmlFuzzErrorFunc,function,fuzz/fuzz.c:58,,,
xmlFuzzInjectFailure,function,fuzz/fuzz.c:83,,,
xmlFuzzMemSetup,function,fuzz/fuzz.c:151,,,
xmlFuzzMallocFailed,function,fuzz/fuzz.c:156,,,
xmlFuzzResetFailure,function,fuzz/fuzz.c:161,,,
xmlFuzzCheckFailureReport,function,fuzz/fuzz.c:167,,,
xmlFuzzDataInit,function,fuzz/fuzz.c:188,,,
xmlFuzzDataCleanup,function,fuzz/fuzz.c:210,,,
xmlFuzzWriteInt,function,fuzz/fuzz.c:224,,,
xmlFuzzReadInt,function,fuzz/fuzz.c:246,,,
xmlFuzzBytesRemaining,function,fuzz/fuzz.c:265,,,
xmlFuzzWriteString,function,fuzz/fuzz.c:296,,,
xmlFuzzReadString,function,fuzz/fuzz.c:320,,,
xmlSlurpFile,function,fuzz/fuzz.c:488,,,stat
xmlFuzzOutputWrite,function,fuzz/fuzz.c:517,,,
xmlFuzzOutputClose,function,fuzz/fuzz.c:526,,,
xmlFuzzMutateChunks,function,fuzz/fuzz.c:552,,,xmlFuzzChunkDesc;xmlFuzzMutator
xmlInitGlobals,function,globals.c:349,,,
xmlInitGlobalsInternal,function,globals.c:356,,,XML_HIDDEN
xmlCleanupGlobals,function,globals.c:377,,,
xmlCleanupGlobalsInternal,function,globals.c:383,,,xmlGlobalState;XML_HIDDEN
xmlCheckThreadLocalStorage,function,globals.c:750,,,XMLPUBFUN
DllMain,function,globals.c:792,,,HINSTANCE;DWORD;WINAPI;LPVOID;BOOL;xmlGlobalState;ATTRIBUTE_UNUSED
xmlThrDefSetStructuredErrorFunc,function,globals.c:856,,,xmlStructuredErrorFunc
xmlThrDefDoValidityCheckingDefaultValue,function,globals.c:871,,,
xmlThrDefGetWarningsDefaultValue,function,globals.c:888,,,
xmlThrDefIndentTreeOutput,function,globals.c:907,,,
xmlThrDefSaveNoEmptyTags,function,globals.c:941,,,
xmlThrDefKeepBlanksDefaultValue,function,globals.c:960,,,
xmlThrDefLineNumbersDefaultValue,function,globals.c:977,,,
xmlThrDefLoadExtDtdDefaultValue,function,globals.c:989,,,
xmlThrDefPedanticParserDefaultValue,function,globals.c:1006,,,
xmlThrDefSubstituteEntitiesDefaultValue,function,globals.c:1023,,,
xmlThrDefRegisterNodeDefault,function,globals.c:1041,,,xmlRegisterNodeFunc
